compound_id,reference_drugbank,smiles,combined_score,confidence_placing,affinity_placing,mmpbsa_dG_mean_kJ_mol,mmpbsa_dG_std_kJ_mol,ligand_rmsd_mean_A,protein_rmsd_mean_A,gromacs_rank
57582435,DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)C#CCCCF,0.9868,16,56,-33.2143,4.2155,4.3829,5.6179,1
15167710,DB07738,COC1=CC(=CC(=C1OC)C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Br,0.2094,3421,2663,-29.206,5.3038,3.9153,5.639,2
24768527,DB07019,CC1CCC2=CC(=CC=C2)CC(C(=O)OCC3=CC(=NC(=C3)N(C)S(=O)(=O)C)CC1)(C)N,0.6094,1267,1422,-28.2115,4.2618,3.1972,5.0041,3
67537520,DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)C=CCCOC,0.993,105,6,-27.6086,5.6697,5.9581,5.7908,4
67538061,DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)C=CCCCO,0.9887,130,19,-26.92,5.7461,6.5892,5.0454,5
52944109,DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)C=CCCCO,0.9906,88,21,-25.5969,5.7056,5.6134,7.1949,6
52948174,DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)C#CCCOC,0.9881,177,10,-25.2089,5.1209,5.0627,6.1955,7
52946915,DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)C=CCCO,0.9886,119,22,-24.8915,4.6933,4.0598,5.2455,8
52940810,DB07874,CCCC#CC1=CC(=CC=C1)C2(C(=O)N(C(=N2)N)C)C3=CC=C(C=C3)OC(F)F,0.9848,91,46,-24.8416,3.8145,4.8109,5.5968,9
16113857,DB07519;DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)CCCF,0.9907,38,33,-24.1656,3.1582,5.7889,9.6607,10
59305370,DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)C=CCCOC,0.9869,211,7,-24.0504,5.3034,4.8566,7.9779,11
67538655,DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC(=C(C=C3)F)C=CCCF,0.9858,189,17,-24.0463,5.8271,3.2429,7.7701,12
71713952,DB12285,CC1(CCN(C(=N1)N)C)C2=C(C=CC(=C2)NC(=O)C3=NC=C(C=C3)Cl)F,0.9872,60,43,-22.8375,4.4329,6.3728,5.2239,13
67538244,DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)C=CCCOC,0.991,150,4,-22.5109,4.1236,4.6852,5.4103,14
16114585,DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)C=CCCCO,0.9963,18,13,-22.4472,5.0567,5.3294,6.7593,15
59790311,DB07519;DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)CCCC=C,0.9829,37,68,-22.2801,5.4925,6.5463,8.3026,16
67537716,DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)C=CCCOC,0.9924,81,15,-21.8125,5.2539,4.865,7.8054,17
67538838,DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC(=C(C=C3)F)C=CCCF,0.986,198,14,-21.6821,5.792,3.0205,4.2183,18
44177328,DB07993,C1=CC2=C(C=CN2)C=C1NC3=NC(=CN=C3N)C4=CC=NC=C4,0.503,1454,1849,-20.9129,2.9351,8.3923,6.4491,19
52945793,DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)C(=CC4CC4)F,0.9848,59,54,-20.5094,5.7793,4.7612,4.5719,20
16114587,DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)C=CCCOC,0.9939,13,25,-20.4553,5.253,4.6517,5.8792,21
52940974,DB07519;DB07874,CN1C(=O)C(N=C1N)(C2=CC=C(C=C2)OC(F)F)C3=CC=CC(=C3)C=CCCF,0.983,163,36,-19.0885,4.103,5.1304,6.6302,22
52942848,DB07874,CC#CC1=CC(=CC=C1)C2(C(=O)N(C(=N2)N)C)C3=CC=C(C=C3)OC(F)F,0.9847,129,37,-18.9553,5.8754,4.8522,5.8134,23
42628075,DB07415,COC1=C(C=C(C=C1)[N+](=O)[O-])CC(C2=CC(=C(C=C2)OC)F)C3=CN=C(N3)N,0.5699,847,1703,-16.6076,4.8937,2.4078,5.0008,24
3663276,DB07303,C1=CC=C(C=C1)COC2=C(N=CC=C2)NC(=O)NC3=CC=CC=C3,0.4029,1470,2290,-15.6162,4.9921,3.7099,3.9665,25
972703,DB07737,CC1CCN(CC1)CC(=O)NCC2=CC=CC=C2,0.3439,2197,2371,-14.5267,4.7689,3.5587,7.0421,26
3083714,DB02378,CC(C)CC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCC(C(=O)NC(C(=O)NC(C(=O)N1)CC2=CC=CC=C2)CCN)NC(=O)C(CCN)NC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)O)C(C)O)CCN)CCN,0.2799,3559,2315,-14.4565,3.5175,10.8255,7.3912,27
